hit_rate,rho,expected_liabilities,p_clean_panel,base_rate_clean,npv,residual_risk_ratio
0.0003,0.0,0.3,0.985109722660289,0.7407848779432322,0.7519820999662277,1.0000000000001164
0.0003,0.3,0.3,0.9851473595789263,0.7509849741157214,0.7623072495841728,0.9948249207167051
0.0003,0.6,0.3,0.9854913182284746,0.7861977632946375,0.7977723890129358,0.9528461089521328
0.001,0.0,1.0,0.9512056281970312,0.3676954247709636,0.3865572425889807,1.0
0.001,0.3,1.0,0.9519123313655737,0.4395094871219228,0.4617121478943558,0.9705110569860014
0.001,0.6,1.0,0.9573815021212395,0.5846731778543295,0.6107003076191548,0.795662696722438
0.003,0.0,3.0,0.8605139508106714,0.04956308282316094,0.05759707065349567,0.9999999999999732
0.003,0.3,3.0,0.8688758050197967,0.1663626174281998,0.19146881115467285,0.8814157525812535
0.003,0.6,3.0,0.9011536638104133,0.39048491935808755,0.4333166861986355,0.5674873274497673
0.01,0.0,10.0,0.6050060671375362,4.3171247410657856e-05,7.135671814815656e-05,0.9999999999999991
0.01,0.3,10.0,0.6729488078886503,0.031910219453698936,0.04741849466056112,0.6614941396555875
0.01,0.6,10.0,0.7858455909302037,0.20991636647005327,0.26712164436982555,0.33590584951009356
0.03,0.0,30.0,0.2180653753474085,5.911997833620595e-14,2.7111125845641286e-13,0.9999999999999978
0.03,0.3,30.0,0.40949388963273103,0.00403118951193038,0.009844321524665226,0.42176896406510084
0.03,0.6,30.0,0.6145968859696915,0.09333750283285631,0.15186784209879514,0.18973724658603544
