nu,rho,npv,base_rate_clean,residual_risk_ratio
3.0,0.3,0.10997114963744724,0.09492744542229646,0.9592551970622478
3.0,0.5,0.17542670874442545,0.15262835507780256,0.8739012931026134
3.0,0.7,0.31882812265478316,0.285629070074155,0.6413239094719552
4.0,0.3,0.1488216481085716,0.12884484912437616,0.9229789518604645
4.0,0.5,0.25502744298743746,0.22393023319788036,0.782253033584571
4.0,0.7,0.44941718010085296,0.40895499538295615,0.5128424994151504
5.0,0.3,0.19146881115467285,0.1663626174281998,0.8814157525812535
5.0,0.5,0.3341262862444826,0.2960661962186237,0.6973946567566329
5.0,0.7,0.5564546456600815,0.5125127798881277,0.41879267293062
8.0,0.3,0.2975451084912284,0.26096434139389507,0.7801748640046943
8.0,0.5,0.4979216968467754,0.44913760927066904,0.5417367747811034
8.0,0.7,0.7259742133247291,0.6808377635996451,0.28441617414439757
15.0,0.3,0.42062394135742187,0.37297390333608754,0.6706377058786355
15.0,0.5,0.642922759754755,0.588787776245193,0.41789574642868
15.0,0.7,0.833111352701654,0.7904896325366979,0.20216657458429457
50.0,0.3,0.5366063675961799,0.48079452776660236,0.572814934920311
50.0,0.5,0.7470062280898168,0.6918448764570171,0.33091838346274016
50.0,0.7,0.8913973269843222,0.8518777477759524,0.1542993801410665
200.0,0.3,0.5744426342618107,0.5164884254720843,0.5413132495107742
200.0,0.5,0.7755414626589486,0.7206316967272854,0.3064519297985695
200.0,0.7,0.9052466977696987,0.8667703871348211,0.1419852632699756
